RECORDING_SESSION_LABEL,INDEX,AVERAGE_BLINK_DURATION,AVERAGE_FIXATION_DURATION,SD_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,SD_SACCADE_AMPLITUDE,BLINK_COUNT,FIXATION_COUNT,PUPIL_SIZE_MEAN,SACCADE_COUNT,VISITED_INTEREST_AREA_COUNT,Session_Name_,Trial_Index_,Trial_Recycled_,type,book_name,book,page,total_page,RT,answer,correct_answer,page_name
msd001,22,84.71,198.53,75.2,4.36,5.16,7,129,1708.44,128,68,msd001,22,True,reading,flytrap,2,4,6,30528.8304131,1,-99,reading-flytrap-4
msd001,23,69.00,183.69,59.49,4.99,5.66,1,67,1696.23,66,58,msd001,23,True,reading,flytrap,2,5,6,14477.7064131,1,-99,reading-flytrap-5
msd001,24,56.00,187.66,87.73,5.12,5.91,2,80,1661.2,79,57,msd001,24,False,reading,flytrap,2,6,6,17666.3324131,0,-99,reading-flytrap-6
msd001,25,,173.67,59.66,5.39,5.30,0,60,1763.22,59,,msd001,25,False,question,flytrap,2,1,13,12294.5194131,1,1,question-flytrap-1
msd001,26,78.33,204.08,91.72,4.63,4.17,3,73,1852.78,72,,msd001,26,False,question,flytrap,2,2,13,17560.7964131,3,3,question-flytrap-2
msd001,27,67.00,184.3,84.37,4.95,4.81,2,80,1720.32,79,,msd001,27,False,question,flytrap,2,3,13,17408.0644131,4,4,question-flytrap-3
msd001,28,56.50,174.63,78.51,5.66,5.50,2,105,1880.75,104,,msd001,28,False,question,flytrap,2,4,13,21966.2774131,2,2,question-flytrap-4
msd001,29,82.00,175.02,75.74,5.56,4.93,1,48,1911.98,47,,msd001,29,False,question,flytrap,2,5,13,10122.5954131,4,2,question-flytrap-5
msd001,30,,179.18,110.13,6.01,3.99,0,11,1753.07,10,,msd001,30,False,question,flytrap,2,6,13,2264.66141306,2,-99,question-flytrap-6
msd001,31,67.00,180.9,80.81,4.48,2.70,1,10,1745.19,9,,msd001,31,False,question,flytrap,2,7,13,2195.25741306,3,-99,question-flytrap-7
msd001,32,,153.18,62.88,4.89,3.01,0,11,1815.76,10,,msd001,32,False,question,flytrap,2,8,13,1964.18141306,2,-99,question-flytrap-8
msd001,33,,234.67,189.59,4.05,3.00,0,6,1694.7,5,,msd001,33,False,question,flytrap,2,9,13,1488.31241306,2,-99,question-flytrap-9
msd001,34,61.00,190.3,110.87,5.38,3.43,1,10,1571.25,9,,msd001,34,False,question,flytrap,2,10,13,2404.14641306,2,-99,question-flytrap-10
msd001,35,,191.56,96.59,4.66,1.63,0,9,1556.84,8,,msd001,35,False,question,flytrap,2,11,13,1930.47241306,3,-99,question-flytrap-11
msd001,36,,167.88,57.72,5.13,1.39,0,8,1558.54,7,,msd001,36,False,question,flytrap,2,12,13,1530.50741306,3,-99,question-flytrap-12
msd001,37,94.00,129.62,69.33,3.99,2.08,1,8,1489.92,7,,msd001,37,False,question,flytrap,2,13,13,1396.07441306,2,-99,question-flytrap-13
msd001,38,94.25,195.93,92.73,5.28,5.69,4,76,1732.56,75,58,msd001,38,True,reading,genome,3,1,6,17972.6544131,1,-99,reading-genome-1
msd001,39,59.50,213.56,98.75,5.09,6.00,2,97,1650.55,96,75,msd001,39,True,reading,genome,3,2,6,23853.1914131,1,-99,reading-genome-2
msd001,40,38.50,212.69,90.17,4.70,5.77,2,96,1583.52,95,63,msd001,40,True,reading,genome,3,3,6,23415.6884131,1,-99,reading-genome-3
msd001,41,81.00,201.82,94.26,5.03,5.81,4,109,1547.45,108,68,msd001,41,True,reading,genome,3,4,6,25926.4704131,1,-99,reading-genome-4
msd001,42,72.00,194.12,79.53,4.33,5.61,1,99,1605.89,98,73,msd001,42,True,reading,genome,3,5,6,22037.0834131,1,-99,reading-genome-5
msd001,43,46.00,231.08,134.87,5.82,6.83,2,24,1597.55,23,18,msd001,43,False,reading,genome,3,6,6,6419.07341306,0,-99,reading-genome-6
msd001,44,81.14,179.89,98.23,4.79,3.46,7,88,1823.75,87,,msd001,44,False,question,genome,3,1,13,19648.0884131,1,1,question-genome-1
msd001,45,80.00,195.12,92.92,2.49,3.10,2,34,1990.11,33,,msd001,45,False,question,genome,3,2,13,7719.34441306,3,3,question-genome-2
msd001,46,63.50,175.29,69.69,5.20,4.75,2,113,1871.9,112,,msd001,46,False,question,genome,3,3,13,23663.2744131,2,2,question-genome-3
msd001,47,,190.16,106.4,4.26,3.49,0,49,1852.41,48,,msd001,47,False,question,genome,3,4,13,10708.8334131,1,1,question-genome-4
msd001,48,66.38,186.25,64.66,4.26,3.80,8,146,1899.48,145,,msd001,48,False,question,genome,3,5,13,32923.5494131,1,2,question-genome-5
msd001,49,46.00,157.09,75.5,4.52,2.63,1,11,1950.2,10,,msd001,49,False,question,genome,3,6,13,2134.18141306,3,-99,question-genome-6
msd001,50,464.00,151.81,81.88,7.55,7.95,2,16,1826.83,15,,msd001,50,False,question,genome,3,7,13,3969.49041306,4,-99,question-genome-7
msd001,51,,164.56,78.68,3.71,1.82,0,9,1630.98,8,,msd001,51,False,question,genome,3,8,13,1677.27341306,3,-99,question-genome-8
msd001,52,,214.6,126.5,5.95,4.14,0,5,1681.13,4,,msd001,52,False,question,genome,3,9,13,1189.69741306,2,-99,question-genome-9
msd001,53,,213.27,82.5,3.76,2.69,0,11,1520.21,11,,msd001,53,False,question,genome,3,10,13,2590.73241306,2,-99,question-genome-10
msd001,54,,224.4,37.0,2.44,2.53,0,5,1533.18,4,,msd001,54,False,question,genome,3,11,13,1167.33041306,3,-99,question-genome-11
msd001,55,116.00,222.75,116.33,4.75,4.61,1,8,1585.51,7,,msd001,55,False,question,genome,3,12,13,2277.86041306,2,-99,question-genome-12
msd001,56,,175.2,63.09,1.25,0.73,0,5,1759.1,4,,msd001,56,False,question,genome,3,13,13,894.499413063,2,-99,question-genome-13
msd001,57,341.67,174.42,63.48,4.40,4.84,3,77,1410.27,76,59,msd001,57,True,reading,northpole,4,1,5,21815.8274131,1,-99,reading-northpole-1
msd001,58,58.00,210.03,125.48,4.29,5.32,4,86,1403.66,85,65,msd001,58,True,reading,northpole,4,2,5,22477.7524131,1,-99,reading-northpole-2
msd001,59,81.00,168.02,77.54,4.90,5.96,1,90,1429.51,89,66,msd001,59,True,reading,northpole,4,3,5,19445.5844131,1,-99,reading-northpole-3
msd001,60,98.00,186.94,83.11,4.13,5.14,1,94,1461.93,93,71,msd001,60,True,reading,northpole,4,4,5,21623.3024131,1,-99,reading-northpole-4
msd001,61,61.00,180.97,92.69,5.68,7.29,2,37,1603.02,36,27,msd001,61,False,reading,northpole,4,5,5,8451.43141306,0,-99,reading-northpole-5
msd001,62,78.00,204.7,154.11,4.46,3.65,2,46,1781.48,45,,msd001,62,False,question,northpole,4,1,13,11145.0414131,3,3,question-northpole-1
msd001,63,87.25,178.28,72.14,6.05,5.30,4,199,1892.32,198,,msd001,63,False,question,northpole,4,2,13,42717.8344131,4,3,question-northpole-2
msd001,64,45.00,185.39,66.58,4.18,3.57,1,51,1824.69,50,,msd001,64,False,question,northpole,4,3,13,10998.5964131,1,1,question-northpole-3
msd001,65,55.50,199.81,78.52,4.13,3.98,2,48,1835.08,48,,msd001,65,False,question,northpole,4,4,13,11159.6774131,2,2,question-northpole-4
msd001,66,65.50,177.8,75.51,5.60,5.12,2,107,1850.78,106,,msd001,66,False,question,northpole,4,5,13,22674.0014131,4,4,question-northpole-5
msd001,67,68.00,141.67,62.02,2.97,1.83,2,12,1922.54,11,,msd001,67,False,question,northpole,4,6,13,2291.81541306,3,-99,question-northpole-6
msd001,68,,195.14,124.47,5.14,2.17,0,7,1702.14,6,,msd001,68,False,question,northpole,4,7,13,1539.52141306,3,-99,question-northpole-7
msd001,69,,165.12,72.36,4.41,3.14,0,8,1735.81,7,,msd001,69,False,question,northpole,4,8,13,1482.68241306,3,-99,question-northpole-8
msd001,70,,251.5,184.16,3.99,1.84,0,8,1815.42,7,,msd001,70,False,question,northpole,4,9,13,2183.98141306,2,-99,question-northpole-9
msd001,71,,230.86,185.72,2.90,2.00,0,7,1638.53,6,,msd001,71,False,question,northpole,4,10,13,1717.16541306,3,-99,question-northpole-10
msd001,72,73.00,229.5,112.91,2.63,1.64,1,8,1768.33,7,,msd001,72,False,question,northpole,4,11,13,2157.60641306,3,-99,question-northpole-11
msd001,73,,184.6,38.49,4.81,2.37,0,5,1518.83,4,,msd001,73,False,question,northpole,4,12,13,998.849413063,2,-99,question-northpole-12
msd001,74,,187.5,73.66,1.79,1.07,0,4,1443.39,3,,msd001,74,False,question,northpole,4,13,13,755.998413062,2,-99,question-northpole-13
msd002,1,78.67,220.84,117.25,3.37,5.41,24,202,1562.03,201,103,msd002,1,True,reading,flytrap,2,1,6,52751.2642483,1,-99,reading-flytrap-1
msd002,2,76.90,211.8,107.56,4.47,6.43,31,157,1540.91,156,100,msd002,2,True,reading,flytrap,2,2,6,41639.9702483,1,-99,reading-flytrap-2
msd002,3,61.76,220.77,107.14,3.15,5.04,21,146,1443.25,145,88,msd002,3,True,reading,flytrap,2,3,6,38211.7832483,1,-99,reading-flytrap-3
msd002,4,68.75,217.7,88.55,3.61,5.45,16,117,1397.41,116,79,msd002,4,True,reading,flytrap,2,4,6,30466.3962483,1,-99,reading-flytrap-4
msd002,5,65.67,235.91,104.13,4.16,6.08,9,123,1400.69,123,81,msd002,5,True,reading,flytrap,2,5,6,33757.3352483,1,-99,reading-flytrap-5
msd002,6,62.25,247.51,167.76,4.02,6.13,12,160,1363.71,159,81,msd002,6,False,reading,flytrap,2,6,6,45521.5872483,0,-99,reading-flytrap-6
msd002,7,198.08,214.88,125.95,3.51,4.67,12,103,1562.25,102,,msd002,7,False,question,flytrap,2,1,13,28016.6052483,2,1,question-flytrap-1
msd002,8,165.88,216.11,124.99,4.03,4.51,8,106,1638.22,105,,msd002,8,False,question,flytrap,2,2,13,27899.3462483,2,3,question-flytrap-2
msd002,9,378.00,227.85,156.95,3.83,5.05,4,148,1544.4,148,,msd002,9,False,question,flytrap,2,3,13,39936.2402483,3,4,question-flytrap-3
msd002,10,156.33,238.58,134.97,3.42,4.86,9,307,1374.33,306,,msd002,10,False,question,flytrap,2,4,13,83450.1362483,1,2,question-flytrap-4
msd002,11,417.25,207.19,92.2,4.13,4.98,4,123,1488.98,122,,msd002,11,False,question,flytrap,2,5,13,30994.9002483,3,2,question-flytrap-5
msd002,12,910.00,187.76,82.24,3.94,3.92,1,42,1626.02,42,,msd002,12,False,question,flytrap,2,6,13,10126.4912483,2,-99,question-flytrap-6
msd002,13,680.00,173.64,53.3,4.50,4.73,1,25,1710.14,24,,msd002,13,False,question,flytrap,2,7,13,5878.24024827,3,-99,question-flytrap-7
msd002,14,266.00,187.69,68.84,4.04,3.58,3,26,1530.78,25,,msd002,14,False,question,flytrap,2,8,13,6640.43424827,2,-99,question-flytrap-8
msd002,15,658.00,136.93,53.54,2.38,1.82,1,14,1608.45,13,,msd002,15,False,question,flytrap,2,9,13,3034.44024827,2,-99,question-flytrap-9
msd002,16,683.00,154.59,85.27,3.98,2.80,2,22,1577.45,21,,msd002,16,False,question,flytrap,2,10,13,5670.07024827,2,-99,question-flytrap-10
msd002,17,498.00,187.0,94.65,3.85,2.98,1,25,1558.85,24,,msd002,17,False,question,flytrap,2,11,13,6027.01424827,3,-99,question-flytrap-11
msd002,18,,180.74,120.6,5.83,5.99,0,27,1515.53,26,,msd002,18,False,question,flytrap,2,12,13,5784.28324827,3,-99,question-flytrap-12
msd002,19,583.00,201.33,116.2,2.81,1.98,1,21,1670.74,20,,msd002,19,False,question,flytrap,2,13,13,5384.31424827,2,-99,question-flytrap-13
msd002,20,106.41,271.17,223.98,3.54,5.36,27,260,1782.89,259,75,msd002,20,True,reading,genome,3,1,6,82285.1862483,1,-99,reading-genome-1
msd002,21,90.67,217.49,91.28,3.60,6.00,3,135,1377.45,134,86,msd002,21,True,reading,genome,3,2,6,33241.9632483,1,-99,reading-genome-2
msd002,22,104.20,252.69,136.55,3.63,6.00,5,123,1310.97,122,73,msd002,22,True,reading,genome,3,3,6,35149.0872483,1,-99,reading-genome-3
msd002,23,63.20,301.91,262.58,3.60,5.27,5,152,1232.18,151,86,msd002,23,True,reading,genome,3,4,6,50616.9202483,1,-99,reading-genome-4
msd002,24,90.67,245.26,115.72,3.48,5.78,3,129,1220.7,128,87,msd002,24,True,reading,genome,3,5,6,35345.0382483,1,-99,reading-genome-5
msd002,25,85.00,217.09,100.95,4.73,7.07,1,44,1435.92,44,25,msd002,25,False,reading,genome,3,6,6,11036.3602483,0,-99,reading-genome-6
msd002,26,205.71,207.4,129.3,3.86,4.56,17,123,1544.89,123,,msd002,26,False,question,genome,3,1,13,33865.0582483,4,1,question-genome-1
msd002,27,685.00,244.84,131.73,2.25,3.53,1,32,1713.86,31,,msd002,27,False,question,genome,3,2,13,9305.32724827,3,3,question-genome-2
msd002,28,415.50,199.05,102.79,4.17,5.10,2,73,1437.84,72,,msd002,28,False,question,genome,3,3,13,17678.4202483,2,2,question-genome-3
msd002,29,638.00,202.27,90.54,3.26,3.77,1,101,1523.52,100,,msd002,29,False,question,genome,3,4,13,23869.4832483,1,1,question-genome-4
msd002,30,444.00,217.33,101.62,3.34,4.11,2,73,1479.25,72,,msd002,30,False,question,genome,3,5,13,18883.3962483,3,2,question-genome-5
msd002,31,1134.00,195.67,80.78,4.30,3.30,1,15,1721.64,14,,msd002,31,False,question,genome,3,6,13,4628.18124827,2,-99,question-genome-6
msd002,32,797.00,193.74,78.07,4.06,2.93,1,19,1683.88,19,,msd002,32,False,question,genome,3,7,13,5167.52124827,3,-99,question-genome-7
msd002,33,795.00,199.0,125.74,4.66,3.18,1,15,1617.94,14,,msd002,33,False,question,genome,3,8,13,4373.57124827,2,-99,question-genome-8
msd002,34,631.00,129.33,48.0,4.33,3.37,1,12,1655.72,11,,msd002,34,False,question,genome,3,9,13,2636.12924827,2,-99,question-genome-9
msd002,35,866.00,179.27,68.39,3.25,2.37,1,15,1711.93,14,,msd002,35,False,question,genome,3,10,13,4024.92524827,2,-99,question-genome-10
msd002,36,599.00,194.47,125.64,2.10,1.83,1,17,1637.27,16,,msd002,36,False,question,genome,3,11,13,4426.57724827,3,-99,question-genome-11
msd002,37,909.00,245.0,180.49,2.51,1.74,1,21,1584.19,21,,msd002,37,False,question,genome,3,12,13,6643.77324827,4,-99,question-genome-12
msd002,38,525.00,144.82,80.31,2.29,1.52,1,11,1617.53,10,,msd002,38,False,question,genome,3,13,13,2469.68424827,2,-99,question-genome-13
msd002,39,87.00,239.56,128.7,3.35,5.57,17,224,1464.98,223,99,msd002,39,True,reading,northpole,4,1,5,61703.1212483,1,-99,reading-northpole-1
msd002,40,64.86,258.99,155.24,2.87,4.78,7,155,1256.34,154,81,msd002,40,True,reading,northpole,4,2,5,44774.3302483,1,-99,reading-northpole-2
msd002,41,82.33,257.69,128.45,3.77,5.97,6,122,1094.77,121,75,msd002,41,True,reading,northpole,4,3,5,35386.6162483,1,-99,reading-northpole-3
msd002,42,71.20,260.79,150.34,3.55,6.21,5,161,1047.93,160,93,msd002,42,True,reading,northpole,4,4,5,46750.2022483,1,-99,reading-northpole-4
msd002,43,72.60,221.4,102.82,3.58,6.36,5,57,1668.13,56,27,msd002,43,False,reading,northpole,4,5,5,14671.9142483,0,-99,reading-northpole-5
msd002,44,324.38,221.03,141.46,3.40,3.39,8,96,1735.39,95,,msd002,44,False,question,northpole,4,1,13,27070.3622483,3,3,question-northpole-1
msd002,45,276.20,190.65,84.92,3.99,5.35,5,197,1462.6,197,,msd002,45,False,question,northpole,4,2,13,44978.4832483,4,3,question-northpole-2
msd002,46,862.00,186.28,69.38,3.58,3.61,1,57,1653.11,56,,msd002,46,False,question,northpole,4,3,13,13218.1962483,4,1,question-northpole-3
msd002,47,379.50,227.89,132.1,2.86,3.36,2,47,1617.3,46,,msd002,47,False,question,northpole,4,4,13,13005.1802483,2,2,question-northpole-4
msd002,48,367.75,193.0,101.29,4.10,5.35,4,104,1454.74,104,,msd002,48,False,question,northpole,4,5,13,24876.3262483,4,4,question-northpole-5
msd002,49,633.00,193.62,90.3,4.14,4.95,1,29,1789.61,28,,msd002,49,False,question,northpole,4,6,13,7266.04324827,2,-99,question-northpole-6
msd002,50,642.00,174.5,80.86,4.78,2.60,1,14,1642.76,14,,msd002,50,False,question,northpole,4,7,13,3631.50624827,3,-99,question-northpole-7
msd002,51,674.00,167.92,74.87,2.74,2.89,1,24,1581.93,23,,msd002,51,False,question,northpole,4,8,13,5403.68624827,3,-99,question-northpole-8
msd002,52,640.00,131.2,41.36,5.00,4.47,1,10,1746.36,9,,msd002,52,False,question,northpole,4,9,13,2305.75624827,2,-99,question-northpole-9
msd002,53,380.00,224.5,161.04,3.36,3.11,1,14,1698.83,13,,msd002,53,False,question,northpole,4,10,13,3995.74824827,3,-99,question-northpole-10
msd002,54,478.00,160.82,69.7,3.56,2.92,1,11,1754.97,11,,msd002,54,False,question,northpole,4,11,13,2594.09524827,3,-99,question-northpole-11
msd002,55,1551.00,189.1,69.01,3.55,3.48,1,10,1780.75,9,,msd002,55,False,question,northpole,4,12,13,3823.20024827,3,-99,question-northpole-12
msd002,56,678.00,165.42,52.44,3.14,2.67,1,12,1811.09,11,,msd002,56,False,question,northpole,4,13,13,3048.07824827,2,-99,question-northpole-13
msd002,57,155.60,252.61,224.6,3.16,5.30,30,192,2156.68,191,95,msd002,57,True,reading,dickens,1,1,5,59658.8512483,1,-99,reading-dickens-1
msd002,58,57.33,237.28,142.52,2.89,5.20,3,115,1890.77,114,63,msd002,58,True,reading,dickens,1,2,5,30510.9722483,1,-99,reading-dickens-2
msd002,59,44.00,232.63,97.05,3.74,6.09,1,171,1530.03,171,91,msd002,59,True,reading,dickens,1,3,5,44533.6852483,1,-99,reading-dickens-3
msd002,60,72.00,217.16,115.06,3.45,5.23,3,166,1470.93,165,61,msd002,60,True,reading,dickens,1,4,5,40753.2572483,1,-99,reading-dickens-4
msd002,61,69.00,231.11,189.18,3.75,6.20,5,116,1584.87,115,69,msd002,61,False,reading,dickens,1,5,5,30593.9712483,0,-99,reading-dickens-5
msd002,62,194.50,263.04,239.17,3.39,4.78,6,120,1792.75,119,,msd002,62,False,question,dickens,1,1,13,36312.5352483,1,1,question-dickens-1
msd002,63,796.00,193.97,78.45,3.90,4.07,2,75,1808.16,75,,msd002,63,False,question,dickens,1,2,13,18558.1822483,2,3,question-dickens-2
msd002,64,271.33,193.99,88.18,3.59,4.88,3,186,1659.13,185,,msd002,64,False,question,dickens,1,3,13,42167.1652483,2,1,question-dickens-3
msd002,65,974.00,176.08,74.92,3.84,4.98,1,59,1636.25,59,,msd002,65,False,question,dickens,1,4,13,13008.9792483,4,4,question-dickens-4
msd002,66,534.00,192.29,87.59,4.05,5.07,1,56,1622.35,55,,msd002,66,False,question,dickens,1,5,13,12959.6092483,3,3,question-dickens-5
msd002,67,561.00,173.72,109.02,4.37,4.54,1,18,1689.2,17,,msd002,67,False,question,dickens,1,6,13,4340.30124827,2,-99,question-dickens-6
msd002,68,564.00,205.75,120.21,5.57,4.84,1,12,1797.96,12,,msd002,68,False,question,dickens,1,7,13,3547.34124827,3,-99,question-dickens-7
msd002,69,798.00,208.43,160.32,3.17,1.90,1,14,1757.52,14,,msd002,69,False,question,dickens,1,8,13,4224.05724827,3,-99,question-dickens-8
msd002,70,484.00,139.6,60.5,4.16,2.88,1,10,1727.25,9,,msd002,70,False,question,dickens,1,9,13,2270.11724827,2,-99,question-dickens-9
msd002,71,391.00,213.27,117.02,2.73,1.63,1,11,1910.45,10,,msd002,71,False,question,dickens,1,10,13,3047.05724827,2,-99,question-dickens-10
msd002,72,341.50,166.44,66.59,3.76,3.07,2,27,1844.56,26,,msd002,72,False,question,dickens,1,11,13,6157.32224827,3,-99,question-dickens-11
msd002,73,646.00,197.85,75.95,4.54,3.73,1,13,1773.13,12,,msd002,73,False,question,dickens,1,12,13,3680.43524827,3,-99,question-dickens-12
msd002,74,407.00,202.25,127.28,4.61,6.53,1,4,1921.56,4,,msd002,74,False,question,dickens,1,13,13,1315.16524827,2,-99,question-dickens-13
msd003,1,94.40,201.78,177.83,3.49,4.86,5,125,2484.87,125,53,msd003,1,True,reading,genome,3,1,6,36641.5438408,1,-99,reading-genome-1
msd003,2,108.75,231.77,145.88,3.78,4.81,8,134,2232.52,133,79,msd003,2,True,reading,genome,3,2,6,38436.1558408,1,-99,reading-genome-2
msd003,3,74.00,248.34,163.53,4.01,5.44,1,109,2026.74,108,58,msd003,3,True,reading,genome,3,3,6,31975.1028408,1,-99,reading-genome-3
msd003,4,89.33,224.7,154.14,3.85,4.76,6,128,2070.02,128,61,msd003,4,True,reading,genome,3,4,6,36752.2778408,1,-99,reading-genome-4
msd003,5,230.50,221.38,139.22,4.78,5.21,6,162,2002.77,161,83,msd003,5,True,reading,genome,3,5,6,45842.2128408,1,-99,reading-genome-5
msd003,6,,264.23,132.18,7.73,8.08,0,22,1901.46,21,16,msd003,6,True,reading,genome,3,6,6,6747.87084084,1,-99,reading-genome-6
msd003,7,,169.8,89.58,6.43,5.43,0,5,2139.57,4,3,msd003,7,False,reading,genome,3,6,6,1044.97684084,0,-99,reading-genome-6
msd003,8,1016.00,226.4,99.13,5.77,3.88,1,40,2021.98,39,,msd003,8,False,question,genome,3,1,13,11740.6368408,1,1,question-genome-1
msd003,9,551.00,185.12,158.6,3.14,3.42,1,25,2469.53,24,,msd003,9,False,question,genome,3,2,13,6068.53884084,3,3,question-genome-2
msd003,10,305.50,230.37,97.87,5.89,5.28,2,106,2285.88,105,,msd003,10,False,question,genome,3,3,13,29514.7318408,2,2,question-genome-3
msd003,11,,241.28,122.39,4.35,3.18,0,54,2324.75,53,,msd003,11,False,question,genome,3,4,13,14763.2808408,1,1,question-genome-4
msd003,12,102.00,244.47,109.7,4.82,3.52,1,45,2122.16,44,,msd003,12,False,question,genome,3,5,13,12723.5028408,3,2,question-genome-5
msd003,13,,261.23,156.29,4.97,3.39,0,13,2413.31,12,,msd003,13,False,question,genome,3,6,13,3869.05184084,3,-99,question-genome-6
msd003,14,,259.81,124.49,6.92,4.25,0,16,2473.94,15,,msd003,14,False,question,genome,3,7,13,4800.58384084,2,-99,question-genome-7
msd003,15,,182.08,66.98,4.33,1.75,0,13,2502.67,12,,msd003,15,False,question,genome,3,8,13,2760.18084084,3,-99,question-genome-8
msd003,16,,164.12,45.55,7.15,3.65,0,8,2378.77,8,,msd003,16,False,question,genome,3,9,13,1612.12484084,2,-99,question-genome-9
msd003,17,,220.08,175.83,4.13,1.99,0,12,2275.58,11,,msd003,17,False,question,genome,3,10,13,2994.05484084,3,-99,question-genome-10
msd003,18,,163.11,119.0,3.83,2.15,0,9,2103.48,8,,msd003,18,False,question,genome,3,11,13,1724.11784084,3,-99,question-genome-11
msd003,19,,233.56,96.27,4.02,1.88,0,9,2261.2,8,,msd003,19,False,question,genome,3,12,13,2337.55984084,2,-99,question-genome-12
msd003,20,165.00,216.29,140.71,3.27,2.26,1,7,2069.37,7,,msd003,20,False,question,genome,3,13,13,2046.40684084,2,-99,question-genome-13
msd003,21,89.50,290.34,149.99,4.37,4.98,4,217,1677.84,216,109,msd003,21,True,reading,northpole,4,1,5,71011.4938408,1,-99,reading-northpole-1
msd003,22,45.33,274.21,136.01,4.48,5.20,3,92,1647.17,91,66,msd003,22,True,reading,northpole,4,2,5,29244.6348408,1,-99,reading-northpole-2
msd003,23,,245.34,125.66,4.57,5.13,0,64,1806.65,63,43,msd003,23,False,reading,northpole,4,3,5,18189.4138408,0,-99,reading-northpole-3
msd003,24,734.00,181.7,102.85,4.17,3.32,1,56,2034.06,55,,msd003,24,False,question,northpole,4,1,13,13976.1668408,4,3,question-northpole-1
msd003,25,303.20,230.32,161.37,4.53,4.85,5,230,2123.85,230,,msd003,25,False,question,northpole,4,2,13,66140.0318408,4,3,question-northpole-2
